"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000187193",37.3831222408412,-3.17271093547455,0.379885627369781,-8.35175301956403,6.72571855141548e-17,1.28863380699027e-14
"ENSG00000187239",1852.06374818396,-0.840484684552211,0.22512653590888,-3.73338789742848,0.000188921299713336,0.00265590193280814
"ENSG00000187288",22.4448024418943,-3.78636904284486,0.637244103601821,-5.94178748998006,2.81930760063765e-09,1.48013649033476e-07
"ENSG00000187446",2396.36888371286,-0.454436552642686,0.10021831684281,-4.53446602336635,5.77493968251021e-06,0.000131367507955266
"ENSG00000187479",42.870487694827,-1.0948538607389,0.34153241781255,-3.20570992279806,0.00134729732721432,0.0134911211348482
"ENSG00000187498",2283.83180964209,-1.34323905262836,0.247471309369673,-5.42785770217037,5.70344817805764e-08,2.20830384144169e-06
"ENSG00000187607",167.756493274769,0.51813223983737,0.164759817871004,3.14477307958081,0.00166215702338959,0.0159479547133172
"ENSG00000188015",121.007731181403,0.825399757827759,0.230592261929025,3.57947725965676,0.000344282204574141,0.00440363714522396
"ENSG00000188042",1231.9763688535,0.799543638949165,0.15524511252152,5.15020167761051,2.60206506450898e-07,8.47179948483418e-06
"ENSG00000188112",321.11371528547,-0.627865456167981,0.198358373969427,-3.16530854535415,0.00154918576690104,0.0150766430026644
"ENSG00000188153",441.021862342185,0.91075862844095,0.296930715777709,3.06724289555402,0.00216043224749552,0.0196725297989732
"ENSG00000188176",56.1464843859419,3.06160683328053,0.678876998379422,4.50981082079527,6.48854622654339e-06,0.000145463970591446
"ENSG00000188215",562.774595734038,-0.751265584681391,0.118531745761423,-6.33809600841884,2.32621865183952e-10,1.57783845417655e-08
"ENSG00000188312",76.954887366423,1.31979147203337,0.259715439642881,5.08168275959309,3.74105832788967e-07,1.15686470921513e-05
"ENSG00000188428",201.100927939298,0.344470149500204,0.121447456884775,2.83637186266507,0.00456292840538174,0.0350303224599268
"ENSG00000188483",318.547795371472,0.67670102329163,0.229284995535339,2.95135327853292,0.00316384819412471,0.0264389022876833
"ENSG00000188501",7.45189833914541,2.91914442024438,0.766924741565715,3.80629840456679,0.000141062172734092,0.00207910554238167
"ENSG00000188536",8.68260344217088,2.28346687677094,0.687465866678674,3.32157127713549,0.000895121163069181,0.00970019056305581
"ENSG00000188596",27.8945075290442,1.07891372325078,0.373800625787694,2.88633471647414,0.00389757404864737,0.0310619269700306
"ENSG00000188613",110.836295857972,-0.701152510341135,0.222672033505811,-3.14881262501623,0.00163935271412025,0.0157535523226085
"ENSG00000188706",1589.82921394637,-0.75502172644579,0.132802571031095,-5.68529449831965,1.30587428402164e-08,5.89645014061698e-07
"ENSG00000188916",53.158722797025,-2.49281469233881,0.605475403831633,-4.117119665908,3.83636902251991e-05,0.00068377145987302
"ENSG00000189007",169.747790008257,1.08592695809341,0.208383403406223,5.21119695879282,1.87626126541302e-07,6.34005738503655e-06
"ENSG00000189067",5385.51042448506,0.370960121445241,0.135745805446669,2.7327556842335,0.00628069017589146,0.0448086859573677
"ENSG00000189077",437.521160170381,-0.380615995900767,0.117697181196362,-3.23385821165726,0.00122130072004698,0.012478215438193
"ENSG00000189184",6487.77889101998,0.89846784066828,0.12806463360426,7.01573740838306,2.28739302691596e-12,2.40176267826176e-10
"ENSG00000189221",2341.76725275591,-3.30520054774633,0.228111111480525,-14.4894324800504,1.41305479131534e-47,3.75166047094222e-44
"ENSG00000189241",1379.06051463882,0.242648182873791,0.0877175678078671,2.76624385442695,0.00567061135329354,0.0412478716246421
"ENSG00000189266",1692.29633923379,-0.41389635356814,0.0671942371912379,-6.15970015985407,7.28828075826615e-10,4.50008963097596e-08
"ENSG00000189298",133.523270644532,0.546339207808568,0.154174966427131,3.54363111255672,0.000394657020934919,0.00496258507041643
"ENSG00000189320",1567.10131162557,-0.78607551755412,0.188300449941039,-4.17458119616951,2.98534732698142e-05,0.000551517694552183
"ENSG00000189339",2582.14174722045,0.441725822732033,0.126200954411134,3.50017814677526,0.000464947323771595,0.00569238867740125
"ENSG00000196072",488.672199014823,0.452586305431114,0.138711857637969,3.26278022036402,0.0011032504226751,0.0115125823163486
"ENSG00000196116",341.155947214242,-0.467125599349854,0.123797259734096,-3.77331130231147,0.000161095072384263,0.00231909521321575
"ENSG00000196123",301.898066105753,0.933142281168968,0.289425479253399,3.22411932624625,0.00126360734194966,0.0128118616749233
"ENSG00000196150",150.939259718075,0.572265168041679,0.155117127227954,3.68924552864301,0.000224920074474372,0.00308953406068455
"ENSG00000196152",134.74314165631,0.797757670151608,0.146808135884602,5.43401539257116,5.50998246734138e-08,2.14681392359622e-06
"ENSG00000196155",242.4421292061,1.36779307410591,0.226506640876263,6.03864446894127,1.55414246676527e-09,8.83294732257877e-08
"ENSG00000196159",2977.66750519565,-0.43038985987332,0.111511818545328,-3.85958964249491,0.000113577588428224,0.0017211424465507
"ENSG00000196196",27.9637692736054,-1.37396853993263,0.458581288562733,-2.99612865635854,0.00273431043114783,0.0237130934964454
"ENSG00000196214",234.281816365525,0.597026979288905,0.180008775844844,3.31665484911415,0.000911020867285383,0.0098209529109622
"ENSG00000196230",7908.12960335272,1.15972631512993,0.254732372802599,4.55272450207435,5.29556013541547e-06,0.000122106681286224
"ENSG00000196295",348.494129023768,0.433955382111032,0.131534105697716,3.29918525548288,0.000969658968442563,0.0103683111519697
"ENSG00000196305",2973.22896197326,0.641725238227428,0.168941084640313,3.79851496510577,0.00014556564147083,0.00213523081825997
"ENSG00000196345",83.2997972465677,0.680346394257741,0.215022241024201,3.16407452092905,0.00155576954636536,0.0151287215289071
"ENSG00000196371",160.198621781976,-0.560883870563922,0.200484902937522,-2.79763644217497,0.00514780196746642,0.038391612987706
"ENSG00000196372",279.91823382205,-0.885696331012073,0.155135375207033,-5.70918354263225,1.13519418707455e-08,5.22217424920312e-07
"ENSG00000196405",863.484591458312,0.414617420400432,0.145148443112672,2.85650614990465,0.00428331706401795,0.0333775461781021
"ENSG00000196409",116.599845111422,0.553940908065181,0.158458001300021,3.49582162794267,0.000472604509450043,0.00577472373972981
"ENSG00000196411",1152.04460393702,0.927096137084674,0.206519433186006,4.4891472089683,7.15088696643443e-06,0.000158780447157926
"ENSG00000196465",760.058241433163,0.417166124783394,0.130432280294042,3.19833498151646,0.00138223616160742,0.0137815767507907
"ENSG00000196476",124.730361234624,1.05781235092065,0.182780062235366,5.78735086301973,7.15051229620331e-09,3.43390881201391e-07
"ENSG00000196507",988.842685681754,-1.05480581454699,0.174369760317303,-6.04924737309697,1.45524064114901e-09,8.35043455984107e-08
"ENSG00000196511",51.3573930757199,1.05206761044856,0.279428762246146,3.76506556444538,0.000166505386007737,0.00238405439056532
"ENSG00000196517",229.640742740425,2.21693468185754,0.166661340519071,13.3020331826976,2.25258462954221e-40,3.4886904450035e-37
"ENSG00000196526",1845.33635282473,0.599292453614966,0.142082160775588,4.21792891059364,2.46556520970272e-05,0.000469493129327101
